Country Name,Country Code,FP.CPI.TOTL,IC.REG.COST.PC.ZS,BN.CAB.XOKA.GD.ZS,FS.AST.PRVT.GD.ZS,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,NE.EXP.GNFS.ZS,SP.DYN.TFRT.IN,BX.KLT.DINV.WD.GD.ZS,BM.KLT.DINV.WD.GD.ZS,NY.GDP.MKTP.CD,NY.GNP.PCAP.KD,NY.GNS.ICTR.ZS,HD.HCI.OVRL,IT.NET.USER.ZS,SL.TLF.BASC.ZS,SL.TLF.INTM.ZS,SP.DYN.LE00.FE.IN,TX.MNF.TECH.ZS.UN,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SP.DYN.IMRT.IN,SP.POP.65UP.TO.ZS,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL.FE.ZS,SN.ITK.SVFI.ZS,GC.TAX.TOTL.GD.ZS,SL.UEM.TOTL.ZS
Argentina,ARG,151.581675,5.3,-5.24670494157763,NaN,0.094999998807907,21.9109992980957,14.2805176122688,2.261,2.28380594250566,0.346666550890868,519871519807.795,9672.22357934133,15.4897218346578,0.61736673116684,87.47913723,48.4580001831055,66.0856018066406,79.863,46.2427555472651,0.854560979237316,132.0931513,8.7,11.1177888760774,16.2585100979651,1.01580834908002,51.2373484456557,12.9,10.0874993053757,9.22000026702881
Australia,AUS,117.89802289282,0.7,-2.04087198676786,139.426348626074,2.61700010299683,19.886999130249,21.8046575994119,1.74,4.33593818577243,0.048717273672701,1433904348500.12,55099.6503911191,21.7359359001032,0.780833959579468,88.65506428,NaN,NaN,84.9,20.6364079744356,1.89155976713945,111.012255,3.1,15.6564752275591,3.24787091037205,1.53610551570388,50.1996232411296,3.9,22.9858152961273,5.2979998588562
Austria,AUT,116.2778868282,4.8,2.37070052096663,84.2582161184847,3.69400000572205,25.4349994659424,55.7558550041256,1.47,0.926513660100848,1.60080979398885,455508255028.219,49919.1205935696,27.6389350008521,0.768673121929169,70.43428254,36.9096984863281,63.9790000915527,84.1,61.1841685145304,0.735992539307036,123.5352681,2.9,19.0015664595899,107.127966860564,0.487071924768999,50.8294266482503,1.1,25.4055474663294,4.84800004959106
Belgium,BEL,115.451625636977,5.4,-1.35403008535506,68.1626682474067,0.994000017642975,21.0629997253418,82.6275276825359,1.62,-10.0958848925742,-8.40204048087219,542685915417.411,47417.3542756286,24.5431694004894,0.762759745121002,64.78201069,27.7000007629395,59.4768981933594,83.9,53.3626271102437,0.925790634519833,99.69668646,2.8,18.7887437383395,377.379590488771,0.455184695275022,50.593319387085,3.6,23.9941061724591,5.94799995422363
Brazil,BRA,161.373814183906,4.7,-2.20313323200635,61.2232572693409,9.25899982452393,20.1280002593994,14.8896998937494,1.73,4.14549439380117,0.107376736594267,1885482534238.33,10764.8497826123,12.3820069210642,0.545723736286163,NaN,47.8745994567871,74.0128021240234,79.362,43.175962853346,1.47490154739588,98.8435013,12.8,8.92283783244003,25.0617162430876,0.783847578971981,50.8299167629894,1.6,14.1786055897712,12.3339996337891
Bulgaria,BGR,110.974058623258,1.1,5.2751892307024,50.4627817151414,6.57800006866455,30.113000869751,65.860289372865,1.56,1.84677392881094,1.31860848834181,66200847917.924,8749.80576757215,28.2736556849707,0.670277237892151,NaN,27.0280990600586,61.165901184082,78.6,44.6925973106557,1.68843232372019,118.9396801,5.9,21.021914434268,64.7110998526161,-0.722080405222853,51.4140884138516,1.9,20.1822629613134,5.21099996566772
Canada,CAN,114.524899828277,0.3,-2.50501224718478,NaN,1.48599994182587,19.5699996948242,32.0772118338598,1.4988,2.71186838320993,3.0757923526219,1716262621082.22,50947.5612296152,19.6710631664349,0.800089955329895,75.29462599,43.5332984924316,61.7892990112305,84.1,55.7276185480446,1.25262923236361,89.57894095,4.3,17.2320066788651,4.07518823864492,1.39794779099322,50.3915299543153,NaN,12.9136059169299,5.83099985122681
China,CHN,121.558877247618,1.2,0.183516168670046,157.812083578284,26.1019992828369,28.1879997253418,19.1121041406894,1.69,1.69390534738551,1.02935199183408,13894817110036.3,7778.36622941043,44.5557872784778,0.64709883928299,84.43358252,NaN,NaN,79.051,60.5250946479758,1.86593660065812,115.5258122,7.3,10.9208835350654,148.348833270666,0.455899678672578,48.6793739572695,NaN,NaN,4.27600002288818
Croatia,HRV,108.974588403722,6.6,1.68506497060205,55.7573146371078,6.24100017547607,27.4220008850098,50.5004373767838,1.47,1.98841731115291,0.524097311163903,60991399904.4434,15667.6619971029,25.0560928842186,0.729365646839142,80.68816754,17.5580005645752,59.913501739502,81.4,45.6145058102252,1.46505417870661,105.5834549,4.1,20.445433012423,73.0493745532523,-0.893486927711056,51.8526217475815,0.9,21.9632820231614,8.43200016021729
Cyprus,CYP,102.254975116847,11.9,-4.27477159582603,139.621790669217,2.16599988937378,16.6609992980957,73.065252052033,1.329,20.858715451638,-13.1525081621267,24961995748.701,30392.1815403116,14.7235035021198,0.754617035388947,97.31920437,36.1226997375488,67.806396484375,82.913,28.15741849818,1.57216193491902,138.900486,1.9,13.7190617734483,128.708333333333,0.809225398288843,49.9710744983023,NaN,24.4960288710973,8.36999988555908
